"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_weight_kind_serialization","Near Citizens House","Tue Dec 16 18:23:48 UTC 2025","passed","Tue Dec 16 18:23:48 UTC 2025","Serialization","Sputnik DAO Interface Tests","",""
"","84","should default to attestationId=1 when not specified","Near Citizens House","Tue Dec 16 18:23:52 UTC 2025","passed","Tue Dec 16 18:23:53 UTC 2025","ZK Verification > verifyStoredProof > Edge Cases","Shared Library Unit Tests","",""
"","0","should return null for missing required fields","Near Citizens House","Tue Dec 16 18:23:50 UTC 2025","passed","Tue Dec 16 18:23:50 UTC 2025","NEP-413 Verification > parseUserContextData > Negative Tests","Shared Library Unit Tests","",""
"Tests boundary transition from 6 to 7 quorum (85→86 citizens).","0","test_quorum_boundary_6_to_7","Near Citizens House","Tue Dec 16 18:22:22 UTC 2025","passed","Tue Dec 16 18:22:22 UTC 2025","Quorum Boundaries","Sputnik Bridge Unit Tests","",""
"Verifies MAX_DESCRIPTION_LEN constant is positive.","0","test_invariant_max_description_length_positive","Near Citizens House","Tue Dec 16 18:22:22 UTC 2025","passed","Tue Dec 16 18:22:22 UTC 2025","Invariants","Sputnik Bridge Unit Tests","",""
"Verifies that storing verifications is blocked when the contract is paused.","80","test_store_verification_when_paused","Near Citizens House","Tue Dec 16 18:17:28 UTC 2025","passed","Tue Dec 16 18:17:28 UTC 2025","Pause/Unpause","Verified Accounts Unit Tests","",""
"Verifies that store_verification rejects when signature recipient doesn't match near_account_id parameter.","53","test_recipient_mismatch","Near Citizens House","Tue Dec 16 18:17:27 UTC 2025","passed","Tue Dec 16 18:17:28 UTC 2025","Input Validation","Verified Accounts Unit Tests","",""
"","0","should reject short signature","Near Citizens House","Tue Dec 16 18:23:50 UTC 2025","passed","Tue Dec 16 18:23:50 UTC 2025","NEP-413 Verification > verifyNearSignature > Boundary Tests","Shared Library Unit Tests","",""
"Verifies that proof components exactly at the 80 character limit are accepted.","68","test_proof_components_at_max_length_allowed","Near Citizens House","Tue Dec 16 18:17:28 UTC 2025","passed","Tue Dec 16 18:17:28 UTC 2025","Proof Validation","Verified Accounts Unit Tests","",""
"Verifies all read-only view functions return correct values for empty contract state.","91","test_read_functions","Near Citizens House","Tue Dec 16 18:17:28 UTC 2025","passed","Tue Dec 16 18:17:28 UTC 2025","Read Functions","Verified Accounts Unit Tests","",""
